joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.5926518609082194,1.2813764594268533,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.3373201659775407,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.19582105948203257,62.99559200915244,-67.48033876501063,0.5718672776695816,0.0,1.3212865777611733,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.05151926877035077,1.4749470205113633,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8050349331948374,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.3187864387730259,57.89876456627814,-118.0,1.0,0.01025,0.2351260715452372,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.6552321032647344,0.38314200576488017,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.3300578108873986,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.27899277906228204,54.323307848536984,-40.94446194390962,0.46036701566556765,0.0,0.00466609644889826,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999629144880865,1.9805008009511247,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.5806795457308938,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.21620974746404942,61.10763275904802,-54.23071741868706,0.5178612945682036,0.0,0.029996281862258917,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.7583411240584303,-0.31255152562391103,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.163353921865996,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.08889385816963369,15.961968768376341,-9.888637770556238,0.44338802134378724,0.0,0.08000000238418581,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.25698697160526485,-0.001474211931646844,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.126577864334915,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.07472161997313224,17.473125577287263,-16.87356951245125,0.728046899053636,0.0,0.026232831954956043,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4840913934686093,0.9987189478230992,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.9693166132160376,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.24876982349330073,96.99380313082118,-74.06669085977417,0.8219813824645863,0.0,1.6132936071157458,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.7090351182450773,0.07986792277378059,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.123934268049737,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.17794355462883185,118.0,-42.67419042903728,1.0,0.004,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.801337844968323,1.6358459939890215,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.350649862877853,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2807179844904367,26.592066137645368,-74.89747803103097,0.6347243900934828,0.0,0.06722342681884763,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029261145152646134,2.1282868627247566,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.2450536774760588,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.27187111909149286,42.038422598144315,-72.84411586260092,0.6173230157847536,0.0,0.029264503717422494,0.0,2.4073,120.0,-118.0,118.0
right_ankle_pitch_joint,-0.803,0.453,-0.7749907431386261,0.42705891266937673,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.653648992510838,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.2027543545622584,19.570530423825634,-12.96103298034146,0.5436258451062677,0.0,0.060797247290611256,-0.803,0.453,36.0,-36.0,36.0
right_ankle_roll_joint,-0.2625,0.2625,-0.1233338129852427,0.2506443447798111,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.4992752159783571,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.09944121615562493,15.700701169405473,-21.977987543319227,0.9157494809716344,0.0,0.02681904360651971,-0.2967,0.2967,24.0,-24.0,24.0
waist_yaw_joint,-3.43,2.2078,-0.5180343245186678,-0.0005292019113774096,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.388381240628427,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#waist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.5352196079614969,21.975688939326115,-90.33228016981404,0.7655277980492715,0.0,2.209756831896678,-3.43,2.2078,120.0,-118.0,118.0
waist_pitch_joint,-0.314,0.314,-0.3136902873913632,0.31313149335464313,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.208783521257979,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.24516989007166712,48.0,-48.0,1.0,0.05455,0.0036322802305221447,-0.314,0.314,48.0,-48.0,48.0
waist_roll_joint,-0.488,0.488,-0.1701060416546609,0.30179202918178943,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.7024229809752387,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.20648097348527192,30.552275681148565,-29.92639428029194,0.6365057433572617,0.0,0.2128587756156921,-0.488,0.488,48.0,-48.0,48.0
head_yaw_joint,-0.349,0.349,-0.007913019173814866,0.0009181505672035114,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.5315009527598678,6.019,X2_URDF-v1.3.0/x2_ultra.urdf#head_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.08830386322642761,0.2633516073124541,-0.009522734820802691,0.10128907973555927,0.0,0.3485428315461613,-0.349,0.349,2.6,-2.6,2.6
head_pitch_joint,-0.3838,0.3838,-0.021528004277853386,-0.0016809302596307975,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.5134234500091709,6.28,X2_URDF-v1.3.0/x2_ultra.urdf#head_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.08175532643458135,0.3104986119376819,-0.0027542569029209004,0.5174976865628033,0.0,0.380826827723626,-0.3838,0.3838,0.6,-0.6,0.6
left_shoulder_pitch_joint,-3.08,2.04,-1.354487237025683,0.7229851409895569,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.552757870396896,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.42426328471858926,34.83488427140652,-14.915542572157308,0.9676356742057367,0.0,1.3236817717552185,-3.08,2.04,36.0,-36.0,36.0
left_shoulder_roll_joint,-0.061,2.993,0.23978990472982367,0.6804081987761598,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,7.763287399819694,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5931607120889131,36.0,-5.066749800744433,1.0,5e-05,0.42734329551458355,-0.061,3.0456,36.0,-36.0,36.0
left_shoulder_yaw_joint,-2.556,2.556,-1.6044997866752242,0.08323074474129001,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.2502347904717666,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.14924950523789657,7.970673368512311,-3.562133834654003,0.3321113903546796,0.0,0.960129987001419,-2.556,2.556,24.0,-24.0,24.0
left_elbow_joint,-2.3556,0.0,-1.0939625184972424,-0.4901161535182067,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.757609728615691,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_elbow_joint/limit@velocity (declaration; not MJCF clamp),0.2492279451227493,21.273774929958115,-3.5665560126233795,0.8864072887482548,0.0,0.48098965369462965,-2.3556,0.0,24.0,-24.0,24.0
left_wrist_yaw_joint,-2.556,2.556,-0.033950665128472196,0.0419791216947743,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.2572302536203942,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.01706110324470347,0.3672377789303171,-0.4365070521528336,0.0181877938397014,0.0,2.5550556751132243,-2.556,2.556,24.0,-24.0,24.0
left_wrist_pitch_joint,-0.5236,0.5236,-0.20213276108181077,0.043537679438143774,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.39010753644747,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.5707038052644389,1.8925615166670091,-0.4994409508205634,0.8602552348486404,0.0,0.3214609816551208,-0.5236,0.5236,4.8,-2.2,2.2
left_wrist_roll_joint,-1.5097,0.724,-0.0437537615977121,0.21663049501992568,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.606043259884214,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.38348692929422495,0.5570293525033926,-2.2,1.0,0.00205,0.6803014667779207,-1.5097,0.724,4.8,-2.2,2.2
right_shoulder_pitch_joint,-3.08,2.04,-1.273391634638747,0.5774054170839621,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.277195630057429,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.1739911086535322,18.628508375357832,-12.196092869276775,0.517458565982162,0.0,1.5028935724496844,-3.08,2.04,36.0,-36.0,36.0
right_shoulder_roll_joint,-2.993,0.061,-0.8604811678003197,-0.35074808586811296,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,11.019339731323145,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.8419422166353259,36.0,-8.408009191267036,1.0,0.0038,0.4278158024027943,-3.0456,0.061,36.0,-36.0,36.0
right_shoulder_yaw_joint,-2.556,2.556,-0.06277530096395254,1.7722776396268312,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.496258968767092,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.16556735217663274,9.873902462019807,-8.437282464817695,0.4114126025841586,0.0,0.7788135480880738,-2.556,2.556,24.0,-24.0,24.0
right_elbow_joint,-2.3556,0.0,-1.4617038569514562,-0.38381726481530215,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.0555023479088153,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_elbow_joint/limit@velocity (declaration; not MJCF clamp),0.20265983603560492,5.647213616044223,-14.981925233197774,0.624246884716574,0.0,0.39814956239461896,-2.3556,0.0,24.0,-24.0,24.0
right_wrist_yaw_joint,-2.556,2.556,-0.006336339453654997,0.01508618698037025,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.20318686313547832,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.013476610939542237,0.16553456626972501,-0.07575636772138321,0.006897273594571876,0.0,2.542137723919004,-2.556,2.556,24.0,-24.0,24.0
right_wrist_pitch_joint,-0.5236,0.5236,-0.1996261735413052,0.00938175246784702,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.6654954061799094,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.15890530233522193,0.3256807386721904,-0.42130331011817634,0.19150150459917106,0.0,0.323968842625618,-0.5236,0.5236,4.8,-2.2,2.2
right_wrist_roll_joint,-0.724,1.5097,-0.13822127291373598,0.024605308181257512,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.7804640835140084,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.4251346904283688,1.592215553980034,-0.339573191588056,0.7237343427181973,0.0,0.6813305545598268,-0.724,1.5097,4.8,-2.2,2.2
