joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6183317460748959,1.2771911942740628,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.163269813772693,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6839200581243878,118.0,-97.74553636376652,1.0,0.027382943143812708,1.3195460307598115,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.03611102700914496,1.5385747421738842,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.34400163529184,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5315014774875871,105.12918935701336,-118.0,1.0,0.06479933110367893,0.2351260715452372,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.1247562821795478,0.3771457507024263,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.874968583459181,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.32464549124155334,78.06737299081986,-48.879148065496274,0.6615879067018633,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999629144880865,1.9605758588344642,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.471220815241539,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.4583797599900753,118.0,-82.10210053130943,1.0,0.001254180602006689,0.029996281862258917,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8443948627196555,-0.3769195892094205,0.04139486271965542,0.0,0.04139486271965542,2.205999999999757,0.646,0.644,0.383,5.298171717320609,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.4048423410499434,36.0,-9.157364098803003,1.0,0.025501672240802676,0.0015000112652778785,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.27905992380027217,-0.001474211931646844,0.01705992380027216,0.0,0.01705992380027216,2.2249999999997554,0.191,0.177,0.08700000000000001,4.251073156274427,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.28195749527587893,24.0,-23.92130195271151,1.0,0.010869565217391304,3.816652297972123e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4412647504418083,0.9501524102792382,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.217547494975353,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.4371269684128144,102.82911394260945,-118.0,1.0,0.0004180602006688963,1.6121190815567972,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.6979348903954701,0.0731809152679999,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.136690947865016,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.3465726330315864,118.0,-70.7815105654078,1.0,0.002508361204013378,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.5965303965220844,1.6285902552898448,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.7382666368170967,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3131925801622903,45.002509645039844,-93.4184843756899,0.7916820709804229,0.0,0.06877079582214352,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029261145152646134,2.1327942603644408,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.6171875438898105,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.3030485542803125,57.733959121080446,-111.99429491499416,0.9491041941948657,0.0,0.029264503717422494,0.0,2.4073,120.0,-118.0,118.0
right_ankle_pitch_joint,-0.803,0.453,-0.8120047985453732,0.24484379009479262,0.009004798545373172,0.0,0.009004798545373172,1.436999999999842,0.682,0.665,0.34500000000000003,2.6704719063735283,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.20403972389773292,16.167130954832537,-15.205436815032604,0.44908697096757044,0.0,0.0015000112652778785,-0.803,0.453,36.0,-36.0,36.0
right_ankle_roll_joint,-0.2625,0.2625,-0.2124790095461677,0.2648312448350884,0.0,0.0023312448350883974,0.0023312448350883974,1.3529999999998512,0.20800000000000002,0.194,0.07200000000000001,1.5867756001835167,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.10524478345715439,19.712113668599244,-24.0,1.0,0.0033444816053511705,0.0006385691463947074,-0.2967,0.2967,24.0,-24.0,24.0
waist_yaw_joint,-3.43,2.2078,-0.6636867695993405,0.04723134944641381,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.660108359247131,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#waist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2228643062371926,58.88897584945128,-32.85751431133711,0.49905911736823116,0.0,2.165591625430435,-3.43,2.2078,120.0,-118.0,118.0
waist_pitch_joint,-0.314,0.314,-0.33137743169612477,0.3477920247059312,0.017377431696124768,0.03379202470593118,0.03379202470593118,1.0209999999998878,0.357,0.354,0.191,5.391107965359743,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.4119122834168508,48.0,-48.0,1.0,0.08653846153846154,0.0002252266407012926,-0.314,0.314,48.0,-48.0,48.0
waist_roll_joint,-0.488,0.488,-0.08802700960955827,0.3111338040435305,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.977090707196156,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.1510613315400486,47.27069680204106,-42.287190701579476,0.9848061833758553,0.0,0.21359325313568117,-0.488,0.488,48.0,-48.0,48.0
head_yaw_joint,-0.349,0.349,-0.000228608634414344,0.0008660637017274241,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.016642466935397237,6.019,X2_URDF-v1.3.0/x2_ultra.urdf#head_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.0027649886917091274,0.005218718397975097,-0.009006687483902983,0.0034641105707319164,0.0,0.3485428315461613,-0.349,0.349,2.6,-2.6,2.6
head_pitch_joint,-0.3838,0.3838,-0.00525662597762658,0.0009092010402905925,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.06802843836833994,6.28,X2_URDF-v1.3.0/x2_ultra.urdf#head_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.010832553880308907,0.053831025026962465,-0.024360132386171886,0.08971837504493745,0.0,0.380826827723626,-0.3838,0.3838,0.6,-0.6,0.6
left_shoulder_pitch_joint,-3.08,2.04,-1.0687001941853338,0.5331120124212297,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.5520836709100334,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.27140003598028983,11.7326606851883,-23.083768251741894,0.6412157847706081,0.0,1.5627502781152725,-3.08,2.04,36.0,-36.0,36.0
left_shoulder_roll_joint,-0.061,2.993,0.32208884489745987,0.7399816124443351,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.2011610052244177,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.09177574917668228,11.27725027560338,-5.521165169275824,0.3132569521000939,0.0,0.42734338024258617,-0.061,3.0456,36.0,-36.0,36.0
left_shoulder_yaw_joint,-2.556,2.556,-1.581202007573151,0.08240275527237755,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.6880171465711915,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2446121341494456,12.4631017364568,-6.111731713723499,0.5192959056856999,0.0,0.9579943521022798,-2.556,2.556,24.0,-24.0,24.0
left_elbow_joint,-2.3556,0.0,-1.126425286626194,-0.4611664219521154,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.8118795995149466,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_elbow_joint/limit@velocity (declaration; not MJCF clamp),0.1201750745847945,5.561081443214993,-7.4792544724167485,0.31163560301736454,0.0,0.48098965369462965,-2.3556,0.0,24.0,-24.0,24.0
left_wrist_yaw_joint,-2.556,2.556,-0.0016899844051069467,-0.00023720961333482574,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.014622914824524562,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.0009698822593702037,0.01737106769134437,-0.003805283066221825,0.0007237944871393488,0.0,2.5550556751132243,-2.556,2.556,24.0,-24.0,24.0
left_wrist_pitch_joint,-0.5236,0.5236,-0.20213276108181077,0.03478824136084101,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.0938145574208669,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.2611782610842567,0.5455517743728473,-0.5647756548762087,0.25671620676191304,0.0,0.3214609816551208,-0.5236,0.5236,4.8,-2.2,2.2
left_wrist_roll_joint,-1.5097,0.724,-0.053960047957467165,0.043695643887145155,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.6368570167262649,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.15206710045994865,0.6347172123922129,-0.28649341119127836,0.2885078238146422,0.0,0.6803014667779207,-1.5097,0.724,4.8,-2.2,2.2
right_shoulder_pitch_joint,-3.08,2.04,-1.0757386813398693,0.4355963775040959,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.6707090003062643,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.2040578392654542,6.275225833199474,-19.7519953184503,0.5486665366236195,0.0,1.6044564029574395,-3.08,2.04,36.0,-36.0,36.0
right_shoulder_roll_joint,-2.993,0.061,-1.0067023457053854,-0.31703854997529524,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.309879812087231,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.17648837195043024,10.137380283659072,-11.371221485318806,0.31586726348107796,0.0,0.4278158024027943,-3.0456,0.061,36.0,-36.0,36.0
right_shoulder_yaw_joint,-2.556,2.556,-0.06837789500035649,1.7387343349848061,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.741503311049481,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2481596677753851,7.918387140808733,-10.694106177497526,0.44558775739573026,0.0,0.776095633506775,-2.556,2.556,24.0,-24.0,24.0
