event_labels,post_elapsed_s,pre_elapsed_s,joint,reference_phase,q_lower_rad,q_upper_rad,pre_q_rad,post_q_rad,pre_dq_rad_s,post_dq_rad_s,excess_rad,reference_at_control_endpoint_rad,requested_target_rad,adopted_native_target_rad,raw_pd_Nm,clipped_control_Nm,integration_joint_torque_Nm,integration_actuator_force_Nm,left_foot_weight,right_foot_weight,other_contact_norm_weight,integration_ground_vertical_N,postforward_ground_vertical_N,pelvis_height_m,torso_tilt_deg,com_speed_m_s,torso_angular_rad_s,floor_penetration_m,residual_gate
first_excess:right_ankle_pitch_joint:offset=-0.02,0.7539999999999172,0.7529999999999173,left_ankle_pitch_joint,catch-knot-2,-0.803,0.453,-0.7947311225122459,-0.7949854877186809,-0.26130327882114823,-0.2543652064350309,0.0,-0.8029999999999999,-0.803,-0.803,0.47564588008515596,0.47564588008515596,0.47564588008515596,0.47564588008515596,0.0,0.09095682431404388,0.6656113486686964,448.16733583985507,260.1647473827576,0.08266755382461977,79.3550609948092,0.0789539594414994,0.865657626016283,6.238615672544967e-05,0.0
first_excess:right_ankle_pitch_joint:offset=-0.02,0.7539999999999172,0.7529999999999173,left_ankle_roll_joint,catch-knot-2,-0.262,0.262,-0.2535634171477697,-0.2536987833327065,-0.13864892402985038,-0.1353661849367907,0.0,-0.26180002093315125,-0.26180002093315125,-0.26180001616477966,-0.9023461949313776,-0.9023461949313776,-0.9023461949313776,-0.9023461949313776,0.0,0.09095682431404388,0.6656113486686964,448.16733583985507,260.1647473827576,0.08266755382461977,79.3550609948092,0.0789539594414994,0.865657626016283,6.238615672544967e-05,0.0
first_excess:right_ankle_pitch_joint:offset=-0.02,0.7539999999999172,0.7529999999999173,right_ankle_pitch_joint,catch-knot-2,-0.803,0.453,-0.8000049944261488,-0.8001990538145547,-0.20409929833850105,-0.194059388405889,0.0,-0.8029999999999999,-0.803,-0.803,1.4106182940937537,1.4106182940937537,1.4106182940937537,1.4106182940937537,0.0,0.09095682431404388,0.6656113486686964,448.16733583985507,260.1647473827576,0.08266755382461977,79.3550609948092,0.0789539594414994,0.865657626016283,6.238615672544967e-05,0.0
first_excess:right_ankle_pitch_joint:offset=-0.02,0.7539999999999172,0.7529999999999173,right_ankle_roll_joint,catch-knot-2,-0.2625,0.2625,0.20565396971848487,0.205729631249751,0.07666736490367641,0.0756615312661206,0.0,0.21324947476387024,0.21324947476387024,0.21324947252869608,1.4112586251578723,1.4112586251578723,1.4112586251578723,1.4112586251578723,0.0,0.09095682431404388,0.6656113486686964,448.16733583985507,260.1647473827576,0.08266755382461977,79.3550609948092,0.0789539594414994,0.865657626016283,6.238615672544967e-05,0.0
first_excess:right_ankle_pitch_joint:offset=-0.02,0.7539999999999172,0.7529999999999173,waist_pitch_joint,catch-knot-2,-0.314,0.314,-0.045177377842041275,-0.04650108703857146,-1.3473903746383493,-1.32370919653019,0.0,-0.30770084261894226,-0.30770084261894226,-0.12163227730989457,-7.692487907359832,-7.692487907359832,-7.692487907359832,-7.692487907359832,0.0,0.09095682431404388,0.6656113486686964,448.16733583985507,260.1647473827576,0.08266755382461977,79.3550609948092,0.0789539594414994,0.865657626016283,6.238615672544967e-05,0.0
first_excess:right_ankle_pitch_joint:offset=0,0.773999999999915,0.7729999999999151,left_ankle_pitch_joint,catch-knot-2,-0.803,0.453,-0.7976339751502954,-0.7974067933890053,0.1833623013663732,0.22718176129015732,0.0,-0.803,-0.803,-0.803,-3.6843150822735242,-3.6843150822735242,-3.6843150822735242,-3.6843150822735242,0.0,0.11271211541040052,1.2921338433773297,673.6712504654768,496.7572713809512,0.08307906190887897,79.85956899181474,0.05258087308598605,0.6997269150292906,0.002353241348333729,0.0
first_excess:right_ankle_pitch_joint:offset=0,0.773999999999915,0.7729999999999151,left_ankle_roll_joint,catch-knot-2,-0.262,0.262,-0.2555235404284231,-0.2555680899146241,-0.05024116663324705,-0.044549486200951886,0.0,-0.26180002093315125,-0.26180002093315125,-0.26180001616477966,-1.3145288069694838,-1.3145288069694838,-1.3145288069694838,-1.3145288069694838,0.0,0.11271211541040052,1.2921338433773297,673.6712504654768,496.7572713809512,0.08307906190887897,79.85956899181474,0.05258087308598605,0.6997269150292906,0.002353241348333729,0.0
first_excess:right_ankle_pitch_joint:offset=0,0.773999999999915,0.7729999999999151,right_ankle_pitch_joint,catch-knot-2,-0.803,0.453,-0.8030818613621229,-0.8031897425718264,-0.11973527834451728,-0.10788120970345622,0.0001897425718263568,-0.803,-0.803,-0.803,1.3792084448715256,1.3792084448715256,1.3792084448715256,1.3792084448715256,0.0,0.11271211541040052,1.2921338433773297,673.6712504654768,496.7572713809512,0.08307906190887897,79.85956899181474,0.05258087308598605,0.6997269150292906,0.002353241348333729,0.0
first_excess:right_ankle_pitch_joint:offset=0,0.773999999999915,0.7729999999999151,right_ankle_roll_joint,catch-knot-2,-0.2625,0.2625,0.20667047822158777,0.20665640743580488,-0.005704862363206698,-0.014070785782891664,0.0,0.21324947476387024,0.21324947476387024,0.21324947252869608,2.038241441936645,2.038241441936645,2.038241441936645,2.038241441936645,0.0,0.11271211541040052,1.2921338433773297,673.6712504654768,496.7572713809512,0.08307906190887897,79.85956899181474,0.05258087308598605,0.6997269150292906,0.002353241348333729,0.0
first_excess:right_ankle_pitch_joint:offset=0,0.773999999999915,0.7729999999999151,waist_pitch_joint,catch-knot-2,-0.314,0.314,-0.07183972830170343,-0.07307712015521195,-1.2670294979303194,-1.2373918535085118,0.0,-0.30770084261894226,-0.30770084261894226,-0.14563227766752243,-7.802962410547051,-7.802962410547051,-7.802962410547051,-7.802962410547051,0.0,0.11271211541040052,1.2921338433773297,673.6712504654768,496.7572713809512,0.08307906190887897,79.85956899181474,0.05258087308598605,0.6997269150292906,0.002353241348333729,0.0
