joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.5928069556951393,1.2801146806823616,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.371040418522138,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.19864614766438823,63.09394744098037,-67.74031814192915,0.5740704927282132,0.0,1.3212865777611733,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.05176471779753288,1.4731503381677982,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.6015621604794426,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.30173945714472544,57.98217890959799,-118.0,1.0,0.0281136638452237,0.23425157160847446,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.6544732932892976,0.38317262231002036,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.2861600111765954,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2753150143412027,53.90097483375106,-41.22540759962559,0.4567879223199242,0.0,0.00466609644889826,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.030013034567218416,1.9803803239547557,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.6237003469611118,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.2198140371113532,59.67775619152235,-55.032828084460604,0.505743696538325,0.0,0.030013012886047366,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.7578878122350099,-0.3542052811492751,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.11198626236358,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.08496876765978298,20.7276631080552,-10.174451569631172,0.5757684196682,0.0,0.08000000238418581,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.24710335601255728,-0.0016051292804935783,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.137371864654475,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.07543754491307787,17.060853224957697,-17.87214573006324,0.7446727387526351,0.0,0.026232831954956043,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.48408035779505953,0.9964980594190787,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.9183851683160107,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.24450277884685076,96.71046968187099,-74.4742241298843,0.8195802515412796,0.0,1.6132936071157458,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.7088998589194179,0.07995134959801416,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.8936887077872038,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.15865354455321748,118.0,-43.21114151868187,1.0,0.011789600967351875,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.7913276845689293,1.6358183275596352,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.2923203099691754,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2758311251649778,26.696843768306557,-74.56185240866142,0.6318801051581476,0.0,0.06722342681884763,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029247609036747585,2.1283604394416207,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.234854201301552,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.2710166053369263,38.48704937280879,-74.1192784474222,0.6281294783679848,0.0,0.029251277446746826,0.0,2.4073,120.0,-118.0,118.0
