joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.592791611645395,1.2801961822745151,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.3379726644719363,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.19587572591085256,63.19373980660998,-67.67473448621311,0.5735146990357043,0.0,1.3212865777611733,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.05150215011913464,1.473285917547709,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.695738639978299,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.30962957774617117,57.79968357007881,-118.0,1.0,0.027055622732769045,0.232439044280909,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.65464317273655,0.38308700362755704,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.366565895107644,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2820514322308683,53.68927985037781,-40.93227244376283,0.4549938970371001,0.0,0.00466609644889826,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.029989388385637795,1.9805873005065089,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.63560205017654,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.22081116372122486,60.27473294283345,-54.90639470863212,0.510802821549436,0.0,0.02998936772346497,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.7577421198529675,-0.35552044974664254,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.1375382163698158,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.08692123606401894,23.427484789920076,-10.187837100240744,0.6507634663866688,0.0,0.08000000238418581,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.24835399134484254,-0.003058066919451607,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.0496593173577073,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.06961990564155385,17.475974934979348,-16.87070858502912,0.7281656222908062,0.0,0.026232831954956043,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4840595125975349,0.9967847860558166,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.930592301478841,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.2455254944268466,96.86931790124233,-74.41690664600372,0.8209264228918841,0.0,1.6132936071157458,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.7084851692655868,0.07995960439971236,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.061752199911933,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.17273393095776918,118.0,-42.2749195124376,1.0,0.013603385731559855,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.7918603913783984,1.6356220859143165,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.3006290278542285,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2765272308859106,26.578145518549803,-74.52929149125916,0.6316041651801624,0.0,0.06722342681884763,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029268265430606205,2.128160084357931,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.243523883998825,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.27174295274789084,41.57375493791868,-74.049527290643,0.6275383668698559,0.0,0.0292722761631012,0.0,2.4073,120.0,-118.0,118.0
