joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6180801274574451,1.2775338586554055,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.347143742429603,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6993250454448394,118.0,-96.94285538978326,1.0,0.00685,1.3242548507452012,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.03744215443262145,1.5224759522907754,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.803079694344611,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.40240278940554713,104.26420276576061,-118.0,1.0,0.01495,0.2351260715452372,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.1250717069197351,0.3772514569317505,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8022250452793793,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.31855102591147616,77.3732807161621,-51.868582101454095,0.6557057687810347,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999629144880865,1.9617725500904133,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.456029449397929,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.4571070249160463,118.0,-77.09872314432177,1.0,0.00045,0.029996281862258917,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8167938816540449,-0.3769195892094205,0.013793881654044826,0.0,0.013793881654044826,1.4259999999998432,0.5740000000000001,0.5740000000000001,0.393,2.9554983202724907,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.22583466954019185,36.0,-12.928291924888553,1.0,0.0038,0.0,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.26553586486725106,-0.001474211931646844,0.0035358648672510484,0.0,0.0035358648672510484,1.4219999999998436,0.167,0.158,0.052000000000000005,1.2357220868643108,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.0819607406555887,24.0,-23.23713059540087,1.0,0.0013,3.2747626304618915e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.44121726183515,0.9509308576747451,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.343885766720702,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.44771160914214997,102.07810949969036,-104.6142365378074,0.8865613265915882,0.0,1.6159984409213068,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.700368091521966,0.07330123616975504,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.2515327599833785,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.35619409852407663,118.0,-65.30789498785866,1.0,0.0008,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.5916664001557936,1.6289957383092855,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8374434200082197,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3215016270114125,45.689161834215675,-90.15325243522689,0.764010613857855,0.0,0.0691049416065217,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029261145152646134,2.131910695341066,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.5890184178198092,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.30068854036694115,57.40297123694466,-94.50170387192453,0.8008618972196995,0.0,0.029264503717422494,0.0,2.4073,120.0,-118.0,118.0
right_ankle_pitch_joint,-0.803,0.453,-0.8127559492662899,0.21299487441083836,0.009755949266289865,0.0,0.009755949266289865,1.4389999999998417,0.766,0.758,0.337,2.158006222897879,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.16488433854659834,13.459707765143172,-15.923469986955249,0.4423186107487569,0.0,0.0,-0.803,0.453,36.0,-36.0,36.0
right_ankle_roll_joint,-0.2625,0.2625,-0.2639721498909677,0.2642784209084989,0.0014721498909676667,0.00177842090849889,0.00177842090849889,1.291999999999858,0.404,0.382,0.181,1.2708341054638992,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.08428958715022214,20.113332493099364,-18.17043354479498,0.8380555205458068,0.0,0.0006416983902454154,-0.2967,0.2967,24.0,-24.0,24.0
waist_yaw_joint,-3.43,2.2078,-0.6684395747522974,0.08230705699389762,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.02613484404194,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#waist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.25353006401155664,58.86979419568756,-38.06647002440576,0.4988965609804031,0.0,2.165591625430435,-3.43,2.2078,120.0,-118.0,118.0
waist_pitch_joint,-0.314,0.314,-0.33114389899208935,0.34871258475872535,0.017143898992089346,0.03471258475872535,0.03471258475872535,1.018999999999888,0.34900000000000003,0.34700000000000003,0.183,5.493218714211721,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.41971414381202027,48.0,-48.0,1.0,0.0179,0.002073810696601841,-0.314,0.314,48.0,-48.0,48.0
