joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6176092794124511,1.275695627372898,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.268684371047454,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6927517066896326,118.0,-98.18382820799984,1.0,0.00695,1.3255564360022547,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.038233984208625144,1.5373514914375894,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.593545523140592,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5524083045526635,105.43255186003252,-118.0,1.0,0.0154,0.2351260715452372,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.125084111459302,0.3772514569317505,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8471668757045,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3223162596937416,80.0720412483151,-50.217151554070746,0.6785766207484331,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999629144880865,1.9619001401478453,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.555370974231462,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.46542987384646967,118.0,-82.3091506666735,1.0,0.00025,0.029996281862258917,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8447740864556614,-0.3769195892094205,0.041774086455661386,0.0,0.041774086455661386,2.207999999999757,0.643,0.643,0.392,5.661419633397506,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.43259873411763633,36.0,-10.598255640351278,1.0,0.005,0.0,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.2656140032878071,-0.001474211931646844,0.0036140032878070882,0.0,0.0036140032878070882,1.4169999999998442,0.169,0.16,0.06,2.0939890624896362,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.13888632105124601,24.0,-23.591775444608587,1.0,0.0019,3.2747626304618915e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4412137205678368,0.9482676489789562,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.133258807945197,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.430065248654926,103.91360997535159,-118.0,1.0,0.00015,1.6170727788209915,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.695651611913423,0.07328514018066216,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.3773674326213765,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.3667365476391904,118.0,-72.08886266873205,1.0,0.0005,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.6018731861094978,1.627370355308542,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.7838113941590725,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3170083272586354,45.689161834215675,-94.39371037798502,0.799946698118517,0.0,0.0691049416065217,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029261145152646134,2.1331478652986213,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.5890184178198092,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.30068854036694115,57.40297123694466,-112.72282830929491,0.9552782060109738,0.0,0.029264503717422494,0.0,2.4073,120.0,-118.0,118.0
