joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6183923216620696,1.2752534336398724,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.114800007997,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6798592499997486,118.0,-97.6400493760525,1.0,0.00665,1.3255564360022547,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.037860434406643724,1.5304330390309757,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.258370618769242,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5243272971488977,106.38063715472924,-118.0,1.0,0.0154,0.23535745683338608,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.1243477006262335,0.37710374156107174,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.909957262268673,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3275768483804183,79.25812744437499,-48.47750030468604,0.6716790461387712,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.03000700022807624,1.9613210618664088,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.576755776183625,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.4672214959939364,118.0,-81.680570237918,1.0,0.00025,0.030007010698318487,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8447951494394631,-0.3769216216389332,0.04179514943946305,0.0,0.04179514943946305,2.2039999999997573,0.654,0.652,0.39,5.429579015374554,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.41488339691102266,36.0,-10.537326051746673,1.0,0.00545,0.0,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.2672221120204804,-0.0005739771834572255,0.005222112020480396,0.0,0.005222112020480396,1.4079999999998452,0.17,0.164,0.073,2.855262884521717,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.18937871489830319,24.0,-22.56132047997014,1.0,0.0025,3.2747626304618915e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4409475314309977,0.9481954394562542,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.16759791504001,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.4329421845710464,104.30192836570706,-118.0,1.0,5e-05,1.6170727788209915,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.6963222173015535,0.07328502809083445,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.3421775765158355,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.3637883358341015,118.0,-71.78460754075263,1.0,0.00045,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.5962658210930755,1.6267568344575447,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.7615230037178415,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3151410023222052,44.98936784137866,-94.15056489321945,0.7978861431628768,0.0,0.0691049416065217,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029252015430086747,2.1335829472577785,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.616875118527171,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.30302237923317454,57.80180494992105,-110.88941939944469,0.9397408423681753,0.0,0.029252892732620245,0.0,2.4073,120.0,-118.0,118.0
