joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6180801274574451,1.2768804071418536,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.347143742429603,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6993250454448394,118.0,-98.03457068313908,1.0,0.02803355842029875,1.3255564360022547,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.03744215443262145,1.5443224812714829,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.424133014283415,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5382148973092673,104.26420276576061,-118.0,1.0,0.06281972580315122,0.2351260715452372,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.1250717069197351,0.3772514569317505,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8022250452793793,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.31855102591147616,79.94771863784274,-51.868582101454095,0.677523039303752,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999629144880865,1.9617725500904133,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.456029449397929,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.4571070249160463,118.0,-83.2315498598205,1.0,0.001841620626151013,0.029996281862258917,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8481852184695959,-0.3769195892094205,0.04518521846959589,0.0,0.04518521846959589,2.205999999999757,0.65,0.65,0.393,5.576710335518439,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.426125952129475,36.0,-9.205522305263097,1.0,0.02394106813996317,0.0,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.27831414755437284,-0.001474211931646844,0.016314147554372826,0.0,0.016314147554372826,2.225999999999755,0.193,0.184,0.052000000000000005,4.166552057608767,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.27635153263970064,24.0,-23.510750082421055,1.0,0.010435850214855739,3.2747626304618915e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.44121726183515,0.9486438033489288,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.343885766720702,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.44771160914214997,102.07810949969036,-118.0,1.0,0.0006138735420503376,1.6170727788209915,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.6957144607677843,0.07330123616975504,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.2515327599833785,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.35619409852407663,118.0,-71.0983366338503,1.0,0.0020462451401677922,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.5959526822998396,1.6289957383092855,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.8374434200082197,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3215016270114125,45.689161834215675,-94.81629346298577,0.8035279107032692,0.0,0.0691049416065217,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.029261145152646134,2.131910695341066,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.5890184178198092,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.30068854036694115,57.40297123694466,-113.75879971774468,0.9640576247266498,0.0,0.029264503717422494,0.0,2.4073,120.0,-118.0,118.0
right_ankle_pitch_joint,-0.803,0.453,-0.8127559492662899,0.23435918884957238,0.009755949266289865,0.0,0.009755949266289865,1.4389999999998417,0.766,0.758,0.337,2.762047288109887,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.21103662042404395,16.194465103198034,-15.839202635719019,0.44984625286661206,0.0,0.0,-0.803,0.453,36.0,-36.0,36.0
right_ankle_roll_joint,-0.2625,0.2625,-0.1974149949313745,0.2642784209084989,0.0,0.00177842090849889,0.00177842090849889,1.291999999999858,0.223,0.20500000000000002,0.057,1.5965945292751653,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.10589603563541589,19.17560387654661,-24.0,1.0,0.006138735420503376,0.0006416983902454154,-0.2967,0.2967,24.0,-24.0,24.0
waist_yaw_joint,-3.43,2.2078,-0.6684395747522974,0.046703896153530634,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.594930368066535,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#waist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.21740368365168694,58.86979419568756,-31.03570592355949,0.4988965609804031,0.0,2.165591625430435,-3.43,2.2078,120.0,-118.0,118.0
waist_pitch_joint,-0.314,0.314,-0.331301407748992,0.34871258475872535,0.017301407748992026,0.03471258475872535,0.03471258475872535,1.018999999999888,0.359,0.356,0.193,5.493218714211721,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.41971414381202027,48.0,-48.0,1.0,0.08430529977491304,0.0025116307735443266,-0.314,0.314,48.0,-48.0,48.0
waist_roll_joint,-0.488,0.488,-0.08587097267091809,0.310311265834693,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.9235964727576023,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#waist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.14697405812634493,47.267638480409644,-42.37732867508235,0.9847424683418676,0.0,0.21341029548645019,-0.488,0.488,48.0,-48.0,48.0
head_yaw_joint,-0.349,0.349,-0.00026177418578581977,0.0008623430449694146,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.01611825745285314,6.019,X2_URDF-v1.3.0/x2_ultra.urdf#head_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.0026778962373904536,0.006278431166348129,-0.009133728382000618,0.003512972454615622,0.0,0.3485428315461613,-0.349,0.349,2.6,-2.6,2.6
head_pitch_joint,-0.3838,0.3838,-0.00507950809137485,0.0009816546709171005,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.08212033975244175,6.28,X2_URDF-v1.3.0/x2_ultra.urdf#head_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.013076487221726392,0.051999171555111294,-0.02566620112880942,0.08666528592518549,0.0,0.380826827723626,-0.3838,0.3838,0.6,-0.6,0.6
left_shoulder_pitch_joint,-3.08,2.04,-1.0683188970730926,0.5322478802308338,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.5802278096343882,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.2735504133278109,12.02057363254462,-23.08678152822166,0.6412994868950461,0.0,1.5627502781152725,-3.08,2.04,36.0,-36.0,36.0
left_shoulder_roll_joint,-0.061,2.993,0.3244423166312477,0.7399098479996699,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.248589159836207,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.09539953849604273,11.128492912208934,-5.575157070341264,0.3091248031169148,0.0,0.42734329551458355,-0.061,3.0456,36.0,-36.0,36.0
left_shoulder_yaw_joint,-2.556,2.556,-1.5817401120514971,0.08232790235766299,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.6925945162744114,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.24491573365221272,12.432492287838652,-6.170153308728419,0.5180205119932771,0.0,0.963332982301712,-2.556,2.556,24.0,-24.0,24.0
left_elbow_joint,-2.3556,0.0,-1.1265244052935388,-0.4615705647568214,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.7679728754856112,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_elbow_joint/limit@velocity (declaration; not MJCF clamp),0.11726290876736825,5.5694671441544426,-7.599641079471708,0.3166517116446545,0.0,0.48098965369462965,-2.3556,0.0,24.0,-24.0,24.0
left_wrist_yaw_joint,-2.556,2.556,-0.0016804280535243,-0.0002318598310681124,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.014728398305282886,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.0009768785769903089,0.017286102407380464,-0.005170395954394628,0.000720254266974186,0.0,2.5550556751132243,-2.556,2.556,24.0,-24.0,24.0
left_wrist_pitch_joint,-0.5236,0.5236,-0.20213276108181077,0.03471642999391721,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.0929760599585987,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.26097804679049635,0.5452478755376572,-0.5818679422106158,0.2644854282775526,0.0,0.3214609816551208,-0.5236,0.5236,4.8,-2.2,2.2
left_wrist_roll_joint,-1.5097,0.724,-0.05344899463353265,0.043695643887145155,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.6407746832460205,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#left_wrist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.153002550918343,0.6282195882908435,-0.3050306994049271,0.2855543583140197,0.0,0.6803014667779207,-1.5097,0.724,4.8,-2.2,2.2
right_shoulder_pitch_joint,-3.08,2.04,-1.0771779108353403,0.4355963775040959,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.6847340423863546,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.20512943477890852,6.5821859831601595,-19.68555972245584,0.5468211034015511,0.0,1.6044564029574395,-3.08,2.04,36.0,-36.0,36.0
right_shoulder_roll_joint,-2.993,0.061,-1.0072075427456613,-0.31694911704358475,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.348060213352194,13.088,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_roll_joint/limit@velocity (declaration; not MJCF clamp),0.17940557864854784,10.306711905610323,-11.811236950249569,0.32808991528471027,0.0,0.4278158024027943,-3.0456,0.061,36.0,-36.0,36.0
right_shoulder_yaw_joint,-2.556,2.556,-0.06850478669877126,1.739881401970288,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.744827964144417,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_shoulder_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.2483801793556024,8.167257710305178,-10.661673640672637,0.4442364016946932,0.0,0.7822470481395722,-2.556,2.556,24.0,-24.0,24.0
right_elbow_joint,-2.3556,0.0,-1.4327048668620443,-0.3854559848101811,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,2.302226211482008,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_elbow_joint/limit@velocity (declaration; not MJCF clamp),0.1526978982212647,7.49735410431393,-6.681442575099032,0.31238975434641375,0.0,0.39814956239461896,-2.3556,0.0,24.0,-24.0,24.0
right_wrist_yaw_joint,-2.556,2.556,0.00591148060435358,0.016743619203926825,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.23101807267779684,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.015322549093174825,0.0,-0.23549349266788733,0.009812228861161973,0.0,2.542137723919004,-2.556,2.556,24.0,-24.0,24.0
right_wrist_pitch_joint,-0.5236,0.5236,-0.1996261735413052,0.05201785249297504,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.01849050679447,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.24319257564337873,0.4994146962441418,-0.6888937372441568,0.31313351692916214,0.0,0.323968842625618,-0.5236,0.5236,4.8,-2.2,2.2
right_wrist_roll_joint,-0.724,1.5097,-0.05336154241053142,0.0820510569865815,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,1.2520934863187332,4.188,X2_URDF-v1.3.0/x2_ultra.urdf#right_wrist_roll_joint/limit@velocity (declaration; not MJCF clamp),0.29897170160428205,0.6919257654148397,-0.9952313568411587,0.4523778894732539,0.0,0.6813305545598268,-0.724,1.5097,4.8,-2.2,2.2
